PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,ATWORK,92
ALL,1,EATOUT,240
ALL,1,ESCORT,1748
ALL,1,HOME,5462884
ALL,1,OTHDISCR,754
ALL,1,OTHMAINT,2307
ALL,1,SCHOOL,1346
ALL,1,SHOPPING,1108
ALL,1,SOCIAL,395
ALL,1,UNIVERSITY,207
ALL,1,WORK,4418
ALL,2,ATWORK,326
ALL,2,EATOUT,639
ALL,2,ESCORT,3459
ALL,2,HOME,5451743
ALL,2,OTHDISCR,1444
ALL,2,OTHMAINT,4702
ALL,2,SCHOOL,2181
ALL,2,SHOPPING,2314
ALL,2,SOCIAL,930
ALL,2,UNIVERSITY,380
ALL,2,WORK,11517
ALL,3,ATWORK,653
ALL,3,EATOUT,1084
ALL,3,ESCORT,5421
ALL,3,HOME,5439436
ALL,3,OTHDISCR,2619
ALL,3,OTHMAINT,7179
ALL,3,SCHOOL,2649
ALL,3,SHOPPING,3396
ALL,3,SOCIAL,1576
ALL,3,UNIVERSITY,571
ALL,3,WORK,23844
ALL,4,ATWORK,1100
ALL,4,EATOUT,4498
ALL,4,ESCORT,8394
ALL,4,HOME,5422531
ALL,4,OTHDISCR,4744
ALL,4,OTHMAINT,11422
ALL,4,SCHOOL,2959
ALL,4,SHOPPING,4776
ALL,4,SOCIAL,2547
ALL,4,UNIVERSITY,863
ALL,4,WORK,46176
ALL,5,ATWORK,1728
ALL,5,EATOUT,7557
ALL,5,ESCORT,11115
ALL,5,HOME,5391602
ALL,5,OTHDISCR,12642
ALL,5,OTHMAINT,16497
ALL,5,SCHOOL,3159
ALL,5,SHOPPING,5799
ALL,5,SOCIAL,3622
ALL,5,UNIVERSITY,1339
ALL,5,WORK,94797
ALL,6,ATWORK,2367
ALL,6,EATOUT,10359
ALL,6,ESCORT,17149
ALL,6,HOME,5332205
ALL,6,OTHDISCR,19854
ALL,6,OTHMAINT,24262
ALL,6,SCHOOL,3305
ALL,6,SHOPPING,7913
ALL,6,SOCIAL,4898
ALL,6,UNIVERSITY,2257
ALL,6,WORK,191129
ALL,7,ATWORK,3110
ALL,7,EATOUT,12311
ALL,7,ESCORT,32094
ALL,7,HOME,5227325
ALL,7,OTHDISCR,26497
ALL,7,OTHMAINT,36481
ALL,7,SCHOOL,29097
ALL,7,SHOPPING,12338
ALL,7,SOCIAL,6663
ALL,7,UNIVERSITY,4230
ALL,7,WORK,346811
ALL,8,ATWORK,4280
ALL,8,EATOUT,14431
ALL,8,ESCORT,66820
ALL,8,HOME,5040700
ALL,8,OTHDISCR,33133
ALL,8,OTHMAINT,53530
ALL,8,SCHOOL,140648
ALL,8,SHOPPING,20285
ALL,8,SOCIAL,9677
ALL,8,UNIVERSITY,8226
ALL,8,WORK,583717
ALL,9,ATWORK,6178
ALL,9,EATOUT,18355
ALL,9,ESCORT,150333
ALL,9,HOME,4683905
ALL,9,OTHDISCR,45278
ALL,9,OTHMAINT,77537
ALL,9,SCHOOL,416702
ALL,9,SHOPPING,34861
ALL,9,SOCIAL,16879
ALL,9,UNIVERSITY,16869
ALL,9,WORK,893723
ALL,10,ATWORK,8937
ALL,10,EATOUT,25020
ALL,10,ESCORT,245067
ALL,10,HOME,4025391
ALL,10,OTHDISCR,60515
ALL,10,OTHMAINT,111061
ALL,10,SCHOOL,716449
ALL,10,SHOPPING,56903
ALL,10,SOCIAL,24065
ALL,10,UNIVERSITY,22670
ALL,10,WORK,1149166
ALL,11,ATWORK,12437
ALL,11,EATOUT,28682
ALL,11,ESCORT,230908
ALL,11,HOME,3360490
ALL,11,OTHDISCR,77892
ALL,11,OTHMAINT,139815
ALL,11,SCHOOL,875964
ALL,11,SHOPPING,76633
ALL,11,SOCIAL,28597
ALL,11,UNIVERSITY,31845
ALL,11,WORK,1358905
ALL,12,ATWORK,17269
ALL,12,EATOUT,28721
ALL,12,ESCORT,168301
ALL,12,HOME,2927838
ALL,12,OTHDISCR,93849
ALL,12,OTHMAINT,151878
ALL,12,SCHOOL,923646
ALL,12,SHOPPING,85329
ALL,12,SOCIAL,30803
ALL,12,UNIVERSITY,37598
ALL,12,WORK,1509779
ALL,13,ATWORK,23432
ALL,13,EATOUT,31436
ALL,13,ESCORT,117887
ALL,13,HOME,2684244
ALL,13,OTHDISCR,114454
ALL,13,OTHMAINT,166186
ALL,13,SCHOOL,946084
ALL,13,SHOPPING,103848
ALL,13,SOCIAL,38645
ALL,13,UNIVERSITY,43684
ALL,13,WORK,1613587
ALL,14,ATWORK,32823
ALL,14,EATOUT,32792
ALL,14,ESCORT,91754
ALL,14,HOME,2500952
ALL,14,OTHDISCR,129458
ALL,14,OTHMAINT,177704
ALL,14,SCHOOL,957542
ALL,14,SHOPPING,119663
ALL,14,SOCIAL,44444
ALL,14,UNIVERSITY,47411
ALL,14,WORK,1673026
ALL,15,ATWORK,47934
ALL,15,EATOUT,34295
ALL,15,ESCORT,81392
ALL,15,HOME,2390201
ALL,15,OTHDISCR,137644
ALL,15,OTHMAINT,200596
ALL,15,SCHOOL,963778
ALL,15,SHOPPING,146585
ALL,15,SOCIAL,50241
ALL,15,UNIVERSITY,50651
ALL,15,WORK,1713023
ALL,16,ATWORK,72086
ALL,16,EATOUT,35427
ALL,16,ESCORT,76751
ALL,16,HOME,2289452
ALL,16,OTHDISCR,136602
