PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,WORK SUB-TOUR,123
ALL,1,EATOUT,260
ALL,1,ESCORT,1898
ALL,1,HOME,5907072
ALL,1,OTHER DISCRETIONARY,835
ALL,1,OTHER MAINTENANCE,2588
ALL,1,SCHOOL,1468
ALL,1,SHOPPING,1152
ALL,1,SOCIAL,361
ALL,1,UNIVERSITY,210
ALL,1,WORK,5219
ALL,2,WORK SUB-TOUR,372
ALL,2,EATOUT,643
ALL,2,ESCORT,3995
ALL,2,HOME,5894420
ALL,2,OTHER DISCRETIONARY,1474
ALL,2,OTHER MAINTENANCE,5401
ALL,2,SCHOOL,2380
ALL,2,SHOPPING,2510
ALL,2,SOCIAL,845
ALL,2,UNIVERSITY,401
ALL,2,WORK,13495
ALL,3,WORK SUB-TOUR,739
ALL,3,EATOUT,1175
ALL,3,ESCORT,6165
ALL,3,HOME,5880310
ALL,3,OTHER DISCRETIONARY,2699
ALL,3,OTHER MAINTENANCE,8129
ALL,3,SCHOOL,2911
ALL,3,SHOPPING,3652
ALL,3,SOCIAL,1542
ALL,3,UNIVERSITY,554
ALL,3,WORK,27557
ALL,4,WORK SUB-TOUR,1280
ALL,4,EATOUT,4978
ALL,4,ESCORT,9307
ALL,4,HOME,5861195
ALL,4,OTHER DISCRETIONARY,5069
ALL,4,OTHER MAINTENANCE,12596
ALL,4,SCHOOL,3244
ALL,4,SHOPPING,5164
ALL,4,SOCIAL,2550
ALL,4,UNIVERSITY,812
ALL,4,WORK,52866
ALL,5,WORK SUB-TOUR,2028
ALL,5,EATOUT,8255
ALL,5,ESCORT,12241
ALL,5,HOME,5826559
ALL,5,OTHER DISCRETIONARY,12909
ALL,5,OTHER MAINTENANCE,17857
ALL,5,SCHOOL,3473
ALL,5,SHOPPING,6217
ALL,5,SOCIAL,3779
ALL,5,UNIVERSITY,1300
ALL,5,WORK,108345
ALL,6,WORK SUB-TOUR,2799
ALL,6,EATOUT,11150
ALL,6,ESCORT,18664
ALL,6,HOME,5760354
ALL,6,OTHER DISCRETIONARY,20462
ALL,6,OTHER MAINTENANCE,26364
ALL,6,SCHOOL,3636
ALL,6,SHOPPING,8434
ALL,6,SOCIAL,5176
ALL,6,UNIVERSITY,2254
ALL,6,WORK,215316
ALL,7,WORK SUB-TOUR,3470
ALL,7,EATOUT,13167
ALL,7,ESCORT,33963
ALL,7,HOME,5643633
ALL,7,OTHER DISCRETIONARY,27410
ALL,7,OTHER MAINTENANCE,39818
ALL,7,SCHOOL,30211
ALL,7,SHOPPING,13190
ALL,7,SOCIAL,7147
ALL,7,UNIVERSITY,4186
ALL,7,WORK,389554
ALL,8,WORK SUB-TOUR,4742
ALL,8,EATOUT,15299
ALL,8,ESCORT,69555
ALL,8,HOME,5436304
ALL,8,OTHER DISCRETIONARY,34539
ALL,8,OTHER MAINTENANCE,57759
ALL,8,SCHOOL,143974
ALL,8,SHOPPING,21785
ALL,8,SOCIAL,10116
ALL,8,UNIVERSITY,8252
ALL,8,WORK,650951
ALL,9,WORK SUB-TOUR,6847
ALL,9,EATOUT,19321
ALL,9,ESCORT,155608
ALL,9,HOME,5052713
ALL,9,OTHER DISCRETIONARY,47756
ALL,9,OTHER MAINTENANCE,84046
ALL,9,SCHOOL,424218
ALL,9,SHOPPING,37112
ALL,9,SOCIAL,17810
ALL,9,UNIVERSITY,17053
ALL,9,WORK,990857
ALL,10,WORK SUB-TOUR,9894
ALL,10,EATOUT,26411
ALL,10,ESCORT,255098
ALL,10,HOME,4356728
ALL,10,OTHER DISCRETIONARY,64584
ALL,10,OTHER MAINTENANCE,119666
ALL,10,SCHOOL,728324
ALL,10,SHOPPING,60381
ALL,10,SOCIAL,25695
ALL,10,UNIVERSITY,22913
ALL,10,WORK,1270592
ALL,11,WORK SUB-TOUR,13994
ALL,11,EATOUT,31133
ALL,11,ESCORT,241900
ALL,11,HOME,3655228
ALL,11,OTHER DISCRETIONARY,84034
ALL,11,OTHER MAINTENANCE,151431
ALL,11,SCHOOL,888410
ALL,11,SHOPPING,82681
ALL,11,SOCIAL,30612
ALL,11,UNIVERSITY,32149
ALL,11,WORK,1501278
ALL,12,WORK SUB-TOUR,19305
ALL,12,EATOUT,30999
ALL,12,ESCORT,177409
ALL,12,HOME,3196557
ALL,12,OTHER DISCRETIONARY,101670
ALL,12,OTHER MAINTENANCE,164848
ALL,12,SCHOOL,936681
ALL,12,SHOPPING,92878
ALL,12,SOCIAL,33043
ALL,12,UNIVERSITY,37914
ALL,12,WORK,1666828
ALL,13,WORK SUB-TOUR,26123
ALL,13,EATOUT,33969
ALL,13,ESCORT,124426
ALL,13,HOME,2934568
ALL,13,OTHER DISCRETIONARY,124437
ALL,13,OTHER MAINTENANCE,180479
ALL,13,SCHOOL,959107
ALL,13,SHOPPING,113877
ALL,13,SOCIAL,41667
ALL,13,UNIVERSITY,43899
ALL,13,WORK,1781404
ALL,14,WORK SUB-TOUR,36379
ALL,14,EATOUT,35444
ALL,14,ESCORT,96762
ALL,14,HOME,2734751
ALL,14,OTHER DISCRETIONARY,140544
ALL,14,OTHER MAINTENANCE,192470
ALL,14,SCHOOL,970882
ALL,14,SHOPPING,131627
ALL,14,SOCIAL,47878
ALL,14,UNIVERSITY,47678
ALL,14,WORK,1847418
ALL,15,WORK SUB-TOUR,52792
ALL,15,EATOUT,37085
ALL,15,ESCORT,85917
ALL,15,HOME,2614206
ALL,15,OTHER DISCRETIONARY,149173
ALL,15,OTHER MAINTENANCE,217551
ALL,15,SCHOOL,977094
ALL,15,SHOPPING,160662
ALL,15,SOCIAL,53875
ALL,15,UNIVERSITY,50929
ALL,15,WORK,1890999
ALL,16,WORK SUB-TOUR,79357
ALL,16,EATOUT,38451
ALL,16,ESCORT,81379
ALL,16,HOME,2505128
ALL,16,OTHER DISCRETIONARY,148268
ALL,16,OTHER MAINTENANCE,225462
ALL,16,SCHOOL,980227
ALL,16,SHOPPING,181754
ALL,16,SOCIAL,58595
ALL,16,UNIVERSITY,53697
ALL,16,WORK,1920247
ALL,17,WORK SUB-TOUR,140359
ALL,17,EATOUT,45949
ALL,17,ESCORT,80946
ALL,17,HOME,2448427
ALL,17,OTHER DISCRETIONARY,144552
ALL,17,OTHER MAINTENANCE,231899
ALL,17,SCHOOL,981024
ALL,17,SHOPPING,193680
ALL,17,SOCIAL,63209
ALL,17,UNIVERSITY,56146
ALL,17,WORK,1941368
ALL,18,WORK SUB-TOUR,285069
ALL,18,EATOUT,61542
ALL,18,ESCORT,83059
ALL,18,HOME,2406773
ALL,18,OTHER DISCRETIONARY,138864
ALL,18,OTHER MAINTENANCE,234430
ALL,18,SCHOOL,979480
ALL,18,SHOPPING,203407
ALL,18,SOCIAL,67645
ALL,18,UNIVERSITY,58240
ALL,18,WORK,1946964
ALL,19,WORK SUB-TOUR,415409
ALL,19,EATOUT,75378
ALL,19,ESCORT,86276
ALL,19,HOME,2384401
ALL,19,OTHER DISCRETIONARY,132451
ALL,19,OTHER MAINTENANCE,234726
ALL,19,SCHOOL,975807
ALL,19,SHOPPING,208636
ALL,19,SOCIAL,71140
ALL,19,UNIVERSITY,59702
ALL,19,WORK,1875320
ALL,20,WORK SUB-TOUR,449952
ALL,20,EATOUT,85251
ALL,20,ESCORT,90043
ALL,20,HOME,2377778
ALL,20,OTHER DISCRETIONARY,126119
ALL,20,OTHER MAINTENANCE,233955
