PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,WORK SUB-TOUR,96
ALL,1,EATOUT,281
ALL,1,ESCORT,1887
ALL,1,HOME,5636156
ALL,1,OTHER DISCRETIONARY,731
ALL,1,OTHER MAINTENANCE,2465
ALL,1,SCHOOL,1360
ALL,1,SHOPPING,1109
ALL,1,SOCIAL,363
ALL,1,UNIVERSITY,210
ALL,1,WORK,4792
ALL,2,WORK SUB-TOUR,320
ALL,2,EATOUT,662
ALL,2,ESCORT,3940
ALL,2,HOME,5624383
ALL,2,OTHER DISCRETIONARY,1375
ALL,2,OTHER MAINTENANCE,5117
ALL,2,SCHOOL,2215
ALL,2,SHOPPING,2389
ALL,2,SOCIAL,848
ALL,2,UNIVERSITY,400
ALL,2,WORK,12618
ALL,3,WORK SUB-TOUR,674
ALL,3,EATOUT,1148
ALL,3,ESCORT,5917
ALL,3,HOME,5611123
ALL,3,OTHER DISCRETIONARY,2411
ALL,3,OTHER MAINTENANCE,7606
ALL,3,SCHOOL,2739
ALL,3,SHOPPING,3606
ALL,3,SOCIAL,1497
ALL,3,UNIVERSITY,556
ALL,3,WORK,25709
ALL,4,WORK SUB-TOUR,1158
ALL,4,EATOUT,4721
ALL,4,ESCORT,8836
ALL,4,HOME,5593297
ALL,4,OTHER DISCRETIONARY,4702
ALL,4,OTHER MAINTENANCE,11938
ALL,4,SCHOOL,3052
ALL,4,SHOPPING,5171
ALL,4,SOCIAL,2593
ALL,4,UNIVERSITY,820
ALL,4,WORK,49211
ALL,5,WORK SUB-TOUR,1788
ALL,5,EATOUT,7844
ALL,5,ESCORT,11581
ALL,5,HOME,5560647
ALL,5,OTHER DISCRETIONARY,12841
ALL,5,OTHER MAINTENANCE,16856
ALL,5,SCHOOL,3303
ALL,5,SHOPPING,6130
ALL,5,SOCIAL,3723
ALL,5,UNIVERSITY,1344
ALL,5,WORK,101879
ALL,6,WORK SUB-TOUR,2580
ALL,6,EATOUT,10443
ALL,6,ESCORT,17815
ALL,6,HOME,5497362
ALL,6,OTHER DISCRETIONARY,20129
ALL,6,OTHER MAINTENANCE,24908
ALL,6,SCHOOL,3432
ALL,6,SHOPPING,8349
ALL,6,SOCIAL,5026
ALL,6,UNIVERSITY,2286
ALL,6,WORK,204005
ALL,7,WORK SUB-TOUR,3270
ALL,7,EATOUT,12371
ALL,7,ESCORT,32706
ALL,7,HOME,5385482
ALL,7,OTHER DISCRETIONARY,26957
ALL,7,OTHER MAINTENANCE,37604
ALL,7,SCHOOL,29518
ALL,7,SHOPPING,12945
ALL,7,SOCIAL,6920
ALL,7,UNIVERSITY,4242
ALL,7,WORK,369382
ALL,8,WORK SUB-TOUR,4448
ALL,8,EATOUT,14617
ALL,8,ESCORT,68415
ALL,8,HOME,5188933
ALL,8,OTHER DISCRETIONARY,33924
ALL,8,OTHER MAINTENANCE,55096
ALL,8,SCHOOL,142203
ALL,8,SHOPPING,20942
ALL,8,SOCIAL,9779
ALL,8,UNIVERSITY,8191
ALL,8,WORK,620402
ALL,9,WORK SUB-TOUR,6568
ALL,9,EATOUT,18681
ALL,9,ESCORT,151374
ALL,9,HOME,4817093
ALL,9,OTHER DISCRETIONARY,46138
ALL,9,OTHER MAINTENANCE,79715
ALL,9,SCHOOL,418957
ALL,9,SHOPPING,35396
ALL,9,SOCIAL,17197
ALL,9,UNIVERSITY,16836
ALL,9,WORK,946442
ALL,10,WORK SUB-TOUR,9381
ALL,10,EATOUT,25793
ALL,10,ESCORT,248250
ALL,10,HOME,4141423
ALL,10,OTHER DISCRETIONARY,61449
