Person Group,Day Pattern,Count
Child too young for school,Home,106959
Child too young for school,Mandatory,191584
Child too young for school,Non-Mandatory,160176
Full-time worker,Home,317310
Full-time worker,Mandatory,1784361
Full-time worker,Non-Mandatory,318033
Non-worker,Home,223901
Non-worker,Non-Mandatory,376331
Part-time worker,Home,70717
Part-time worker,Mandatory,286719
Part-time worker,Non-Mandatory,167197
Retired,Home,234497
Retired,Non-Mandatory,251264
Student of driving age,Home,20149
Student of driving age,Mandatory,163587
Student of driving age,Non-Mandatory,15049
Student of non-driving age,Home,58008
Student of non-driving age,Mandatory,658737
Student of non-driving age,Non-Mandatory,63718
University student,Home,38986
University student,Mandatory,127972
University student,Non-Mandatory,48440
