Person Group,Day Pattern,Count
Child too young for school,Home,115357
Child too young for school,Mandatory,205801
Child too young for school,Non-Mandatory,173215
Full-time worker,Home,359483
Full-time worker,Mandatory,1942613
Full-time worker,Non-Mandatory,349038
Non-worker,Home,258079
Non-worker,Non-Mandatory,423875
Part-time worker,Home,81028
Part-time worker,Mandatory,323102
Part-time worker,Non-Mandatory,189025
Retired,Home,333268
Retired,Non-Mandatory,348580
Student of driving age,Home,21808
Student of driving age,Mandatory,175035
Student of driving age,Non-Mandatory,16096
Student of non-driving age,Home,61121
Student of non-driving age,Mandatory,685499
Student of non-driving age,Non-Mandatory,66977
University student,Home,41989
University student,Mandatory,136511
University student,Non-Mandatory,52098
