PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,ATWORK,158
ALL,1,EATOUT,389
ALL,1,ESCORT,2377
ALL,1,HOME,6903514
ALL,1,OTHDISCR,972
ALL,1,OTHMAINT,3040
ALL,1,SCHOOL,2134
ALL,1,SHOPPING,1359
ALL,1,SOCIAL,456
ALL,1,UNIVERSITY,224
ALL,1,WORK,6313
ALL,2,ATWORK,479
ALL,2,EATOUT,880
ALL,2,ESCORT,4923
ALL,2,HOME,6888019
ALL,2,OTHDISCR,1783
ALL,2,OTHMAINT,6288
ALL,2,SCHOOL,3389
ALL,2,SHOPPING,2957
ALL,2,SOCIAL,1073
ALL,2,UNIVERSITY,430
ALL,2,WORK,16331
ALL,3,ATWORK,900
ALL,3,EATOUT,1498
ALL,3,ESCORT,7242
ALL,3,HOME,6870719
ALL,3,OTHDISCR,3010
ALL,3,OTHMAINT,9569
ALL,3,SCHOOL,4069
ALL,3,SHOPPING,4459
ALL,3,SOCIAL,1821
ALL,3,UNIVERSITY,616
ALL,3,WORK,33080
ALL,4,ATWORK,1520
ALL,4,EATOUT,5839
ALL,4,ESCORT,10934
ALL,4,HOME,6848201
ALL,4,OTHDISCR,5614
ALL,4,OTHMAINT,14464
ALL,4,SCHOOL,4506
ALL,4,SHOPPING,6091
ALL,4,SOCIAL,2966
ALL,4,UNIVERSITY,897
ALL,4,WORK,62996
ALL,5,ATWORK,2372
ALL,5,EATOUT,9512
ALL,5,ESCORT,14215
ALL,5,HOME,6807622
ALL,5,OTHDISCR,15156
ALL,5,OTHMAINT,20655
ALL,5,SCHOOL,4789
ALL,5,SHOPPING,7265
ALL,5,SOCIAL,4324
ALL,5,UNIVERSITY,1428
ALL,5,WORK,127550
ALL,6,ATWORK,3258
ALL,6,EATOUT,12609
ALL,6,ESCORT,21932
ALL,6,HOME,6730872
ALL,6,OTHDISCR,23830
ALL,6,OTHMAINT,30056
ALL,6,SCHOOL,4989
ALL,6,SHOPPING,9706
ALL,6,SOCIAL,6026
ALL,6,UNIVERSITY,2405
ALL,6,WORK,251133
ALL,7,ATWORK,4052
ALL,7,EATOUT,14636
ALL,7,ESCORT,39665
ALL,7,HOME,6596067
ALL,7,OTHDISCR,31581
ALL,7,OTHMAINT,44338
ALL,7,SCHOOL,35545
ALL,7,SHOPPING,15062
ALL,7,SOCIAL,8277
ALL,7,UNIVERSITY,4492
ALL,7,WORK,448795
ALL,8,ATWORK,5503
ALL,8,EATOUT,17262
ALL,8,ESCORT,80321
ALL,8,HOME,6361193
ALL,8,OTHDISCR,39958
ALL,8,OTHMAINT,65380
ALL,8,SCHOOL,164121
ALL,8,SHOPPING,24729
ALL,8,SOCIAL,11836
ALL,8,UNIVERSITY,8827
ALL,8,WORK,742859
ALL,9,ATWORK,7971
ALL,9,EATOUT,22076
ALL,9,ESCORT,179204
ALL,9,HOME,5927871
ALL,9,OTHDISCR,55864
ALL,9,OTHMAINT,95981
ALL,9,SCHOOL,478959
ALL,9,SHOPPING,42438
ALL,9,SOCIAL,20855
ALL,9,UNIVERSITY,18089
ALL,9,WORK,1120198
ALL,10,ATWORK,11395
ALL,10,EATOUT,30288
ALL,10,ESCORT,291970
ALL,10,HOME,5147405
ALL,10,OTHDISCR,75600
ALL,10,OTHMAINT,137308
ALL,10,SCHOOL,821079
ALL,10,SHOPPING,69175
ALL,10,SOCIAL,29889
ALL,10,UNIVERSITY,24358
ALL,10,WORK,1431207
ALL,11,ATWORK,15990
ALL,11,EATOUT,35067
ALL,11,ESCORT,276351
ALL,11,HOME,4360471
ALL,11,OTHDISCR,99534
ALL,11,OTHMAINT,175973
ALL,11,SCHOOL,1001334
ALL,11,SHOPPING,96496
ALL,11,SOCIAL,35627
ALL,11,UNIVERSITY,34314
ALL,11,WORK,1685649
ALL,12,ATWORK,21745
ALL,12,EATOUT,35210
ALL,12,ESCORT,202738
ALL,12,HOME,3842614
ALL,12,OTHDISCR,121682
ALL,12,OTHMAINT,193937
ALL,12,SCHOOL,1055269
ALL,12,SHOPPING,110528
ALL,12,SOCIAL,38852
ALL,12,UNIVERSITY,40664
ALL,12,WORK,1867404
ALL,13,ATWORK,29520
