Person Group,Day Pattern,Count
Child too young for school,Home,141625
Child too young for school,Mandatory,248730
Child too young for school,Non-Mandatory,212987
Full-time worker,Home,426492
Full-time worker,Mandatory,2266612
Full-time worker,Non-Mandatory,410725
Non-worker,Home,316594
Non-worker,Non-Mandatory,519047
Part-time worker,Home,94063
Part-time worker,Mandatory,375114
Part-time worker,Non-Mandatory,223774
Retired,Home,584784
Retired,Non-Mandatory,583392
Student of driving age,Home,24691
Student of driving age,Mandatory,200984
Student of driving age,Non-Mandatory,18547
Student of non-driving age,Home,77110
Student of non-driving age,Mandatory,870110
Student of non-driving age,Non-Mandatory,84941
University student,Home,47020
University student,Mandatory,151515
University student,Non-Mandatory,58709
